record,mosquito_species,day,count,trans,style
78,Haemagogus janthinomys,0,1,0,pool
79,Haemagogus janthinomys,30,1,0,pool
80,Haemagogus janthinomys,0,1,0,pool
81,Haemagogus janthinomys,0,1,0,pool
82,Haemagogus janthinomys,0,1,0,pool
83,Haemagogus janthinomys,21,1,0,pool
84,Haemagogus janthinomys,0,1,0,pool
85,Haemagogus janthinomys,0,1,0,pool
86,Haemagogus janthinomys,0,1,0,pool
89,Haemagogus mesodentatus,0,6,0,pool
90,Haemagogus mesodentatus,0,1,0,pool
92,Haemagogus equinus,0,26,0,pool
93,Haemagogus mesodentatus,0,5,0,pool
95,Sabethes chloropterus,28,3,0,pool
96,Haemagogus equinus,0,4,0,pool
97,Haemagogus leucocelaenus,14,3,0,pool
98,Haemagogus leucocelaenus,14,1,0,pool
99,Haemagogus leucocelaenus,15,2,0,pool
101,Haemagogus leucocelaenus,20,1,0,pool
102,Haemagogus leucocelaenus,0,6,0,pool
103,Haemagogus equinus,0,4,0,single
103,Haemagogus equinus,14,71,0,single
104,Haemagogus equinus,0,7,0,single
104,Haemagogus equinus,18,59,0,single
105,Haemagogus equinus,0,5,0,single
105,Haemagogus equinus,21,37,0,single
106,Haemagogus equinus,0,1,0,single
106,Haemagogus equinus,25,17,0,single
107,Haemagogus equinus,0,1,0,single
107,Haemagogus equinus,29,6,0,single
108,Haemagogus equinus,0,1,0,single
108,Haemagogus equinus,14,44,0,single
109,Haemagogus equinus,0,1,0,single
109,Haemagogus equinus,28,2,0,single
110,Haemagogus equinus,0,14,0,single
110,Haemagogus equinus,14,36,0,single
111,Haemagogus equinus,0,2,0,single
111,Haemagogus equinus,21,3,0,single
112,Haemagogus equinus,0,11,0,single
112,Haemagogus equinus,14,36,0,single
113,Haemagogus equinus,0,7,0,single
113,Haemagogus equinus,18,3,0,single
114,Haemagogus equinus,0,1,0,single
114,Haemagogus equinus,21,2,0,single
1,Haemagogus capricornii,15,1,1,pool
2,Haemagogus capricornii,14,1,1,pool
3,Haemagogus capricornii,14,1,1,pool
4,Haemagogus capricornii,14,1,1,pool
5,Haemagogus capricornii,18,1,1,pool
6,Haemagogus capricornii,14,1,1,pool
7,Haemagogus capricornii,21,1,1,pool
8,Haemagogus capricornii,14,1,1,pool
9,Haemagogus capricornii,19,1,1,pool
10,Haemagogus capricornii,22,1,1,pool
11,Haemagogus capricornii,18,1,1,pool
12,Haemagogus capricornii,22,1,1,pool
13,Haemagogus janthinomys,23,1,1,pool
14,Haemagogus janthinomys,12,1,1,pool
15,Haemagogus janthinomys,34,1,1,pool
18,Haemagogus celeste,19,5,1,pool
19,Haemagogus celeste,19,5,1,pool
20,Haemagogus celeste,22,5,1,pool
22,Haemagogus celeste,18,4,1,pool
30,Haemagogus equinus,26.5,2,1,pool
31,Haemagogus equinus,17,4,1,pool
32,Haemagogus equinus,22,2,1,pool
33,Haemagogus equinus,14,16,1,pool
39,Haemagogus janthinomys,24,8,1,pool
43,Haemagogus janthinomys,22,4,1,pool
45,Haemagogus janthinomys,24,2,1,pool
46,Haemagogus janthinomys,32,2,1,pool
48,Haemagogus janthinomys,14,10,1,pool
49,Haemagogus janthinomys,18,5,1,pool
51,Haemagogus janthinomys,21,5,1,pool
52,Haemagogus janthinomys,25,10,1,pool
62,Haemagogus janthinomys,13,1,1,pool
69,Haemagogus janthinomys,17,1,1,pool
72,Haemagogus janthinomys,17,1,1,pool
73,Haemagogus janthinomys,17,1,1,pool
76,Haemagogus janthinomys,30,1,1,pool
78,Haemagogus janthinomys,30,1,1,pool
80,Haemagogus janthinomys,20,1,1,pool
81,Haemagogus janthinomys,21,1,1,pool
82,Haemagogus janthinomys,21,1,1,pool
84,Haemagogus janthinomys,21,1,1,pool
85,Haemagogus janthinomys,31,1,1,pool
86,Haemagogus janthinomys,31,1,1,pool
89,Haemagogus mesodentatus,27,6,1,pool
90,Haemagogus mesodentatus,27,1,1,pool
92,Haemagogus equinus,27,26,1,pool
93,Haemagogus mesodentatus,28,5,1,pool
96,Haemagogus equinus,23,4,1,pool
99,Haemagogus leucocelaenus,22,1,1,pool
102,Haemagogus leucocelaenus,20,6,1,pool
103,Haemagogus equinus,14,4,1,single
104,Haemagogus equinus,18,7,1,single
105,Haemagogus equinus,21,5,1,single
106,Haemagogus equinus,25,1,1,single
107,Haemagogus equinus,29,0,1,single
108,Haemagogus equinus,14,0,1,single
109,Haemagogus equinus,18,1,1,single
110,Haemagogus equinus,14,14,1,single
111,Haemagogus equinus,21,2,1,single
112,Haemagogus equinus,14,11,1,single
113,Haemagogus equinus,18,7,1,single
114,Haemagogus equinus,21,1,1,single
