Daily_Survival_Probability,N,Month,Genus,Species,Mosquito_Strain,Location,Citation,Figure_Table,Notes
0.716666666666667,,Wet,Aedes,aegypti,,Tubiacanga Rio de Janeiro Brazil,de Freitas et al. 2007,Table 2,Gives estimates for the dry and wet season in two different locations. Took mean of the three cohorts (little variation among them). Using the exponential model estimates
0.73,,Dry,Aedes,aegypti,,Tubiacanga Rio de Janeiro Brazil,de Freitas et al. 2007,Table 2,See first line
0.84,,Wet,Aedes,aegypti,,Favela do Amorim Rio de Janeiro Brazil,de Freitas et al. 2007,Table 2,See first line
0.863333333333333,,Dry,Aedes,aegypti,,Favela do Amorim Rio de Janeiro Brazil,de Freitas et al. 2007,Table 2,See first line
0.948453608247423,66,,Haemagogus,Janthinomys,,,Data taken from Childs et al. 2019 who gathered data from a number of papers.,See github linked at the end of the pdf,Leaving out temperature and converting from longevity_days to daily with 1-1/x
0.945355191256831,128,,Haemagogus,Janthinomys,,,Data taken from Childs et al. 2019 who gathered data from a number of papers.,See github linked at the end of the pdf,See first line
0.931034482758621,154,,Haemagogus,Janthinomys,,,Data taken from Childs et al. 2019 who gathered data from a number of papers.,See github linked at the end of the pdf,See first line
0.927536231884058,512,,Haemagogus,Janthinomys,,,Data taken from Childs et al. 2019 who gathered data from a number of papers.,See github linked at the end of the pdf,See first line
0.791666666666667,132,,Haemagogus,Janthinomys,,,Data taken from Childs et al. 2019 who gathered data from a number of papers.,See github linked at the end of the pdf,See first line
0.974293059125964,,,Sabethes,chloropterus,,,Data taken from Childs et al. 2019 who gathered data from a number of papers.,See github linked at the end of the pdf,See first line
0.947368421052632,1,,Haemagogus,janthinomys,,,Data taken from Childs et al. 2019 who gathered data from a number of papers.,See github linked at the end of the pdf,See first line
0.962962962962963,1,,Haemagogus,janthinomys,,,Data taken from Childs et al. 2019 who gathered data from a number of papers.,See github linked at the end of the pdf,See first line
0.977272727272727,1,,Sabethes,chloropterus,,,Data taken from Childs et al. 2019 who gathered data from a number of papers.,See github linked at the end of the pdf,See first line
0.961538461538462,1,,Sabethes,chloropterus,,,Data taken from Childs et al. 2019 who gathered data from a number of papers.,See github linked at the end of the pdf,See first line
0.952380952380952,1,,Haemagogus,leucocelaenus,,,Data taken from Childs et al. 2019 who gathered data from a number of papers.,See github linked at the end of the pdf,See first line
